Customer Key,First Name,Last Name,Full Name,Gender,Test,Date First Purchase,Customer City
11000,Jon,Yang,Yang Jon,Male,M,2021-01-19,Rockhampton
11001,Eugene,Huang,Huang Eugene,Male,M,2021-01-15,Seaford
11002,Ruben,Torres,Torres Ruben,Male,M,2021-01-07,Hobart
11003,Christy,Zhu,Zhu Christy,Female,F,2020-12-29,North Ryde
11004,Elizabeth,Johnson,Johnson Elizabeth,Female,F,2021-01-23,Wollongong
11005,Julio,Ruiz,Ruiz Julio,Male,M,2020-12-30,East Brisbane
11006,Janet,Alvarez,Alvarez Janet,Female,F,2021-01-24,Matraville
11007,Marco,Mehta,Mehta Marco,Male,M,2021-01-09,Warrnambool
11008,Rob,Verhoff,Verhoff Rob,Female,F,2021-01-25,Bendigo
11009,Shannon,Carlson,Carlson Shannon,Male,M,2021-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Suarez Jacquelyn,Female,F,2021-01-14,East Brisbane
11011,Curtis,Lu,Lu Curtis,Male,M,2020-12-30,East Brisbane
11012,Lauren,Walker,Walker Lauren,Female,F,2023-03-16,Bremerton
11013,Ian,Jenkins,Jenkins Ian,Male,M,2023-04-13,Lebanon
11014,Sydney,Bennett,Bennett Sydney,Female,F,2023-03-23,Redmond
11015,Chloe,Young,Young Chloe,Female,F,2023-01-18,Burbank
11016,Wyatt,Hill,Hill Wyatt,Male,M,2023-02-09,Imperial Beach
11017,Shannon,Wang,Wang Shannon,Female,F,2021-01-12,Sunbury
11018,Clarence,Rai,Rai Clarence,Male,M,2021-01-17,Bendigo
11019,Luke,Lal,Lal Luke,Male,M,2023-02-12,Langley
11020,Jordan,King,King Jordan,Male,M,2022-12-29,Metchosin
11021,Destiny,Wilson,Wilson Destiny,Female,F,2023-01-23,Beaverton
11022,Ethan,Zhang,Zhang Ethan,Male,M,2023-01-20,Bellingham
11023,Seth,Edwards,Edwards Seth,Male,M,2023-02-17,Bellflower
11024,Russell,Xie,Xie Russell,Male,M,2023-06-27,Concord
11025,Alejandro,Beck,Beck Alejandro,Male,M,2021-01-06,Hawthorne
11026,Harold,Sai,Sai Harold,Male,M,2021-01-23,Goulburn
11027,Jessie,Zhao,Zhao Jessie,Male,M,2021-01-16,Warrnambool
11028,Jill,Jimenez,Jimenez Jill,Female,F,2021-01-26,St. Leonards
11029,Jimmy,Moreno,Moreno Jimmy,Male,M,2021-01-19,Bendigo
11030,Bethany,Yuan,Yuan Bethany,Female,F,2021-02-05,Cloverdale
11031,Theresa,Ramos,Ramos Theresa,Female,F,2021-02-01,Matraville
11032,Denise,Stone,Stone Denise,Female,F,2021-02-18,Melbourne
11033,Jaime,Nath,Nath Jaime,Male,M,2021-02-15,Milsons Point
11034,Ebony,Gonzalez,Gonzalez Ebony,Female,F,2021-02-01,North Sydney
11035,Wendy,Dominguez,Dominguez Wendy,Female,F,2021-02-06,Cranbourne
11036,Jennifer,Russell,Russell Jennifer,Female,F,2023-01-22,National City
11037,Chloe,Garcia,Garcia Chloe,Female,F,2023-01-20,Cliffside
11038,Diana,Hernandez,Hernandez Diana,Female,F,2021-02-07,Lavender Bay
11039,Marc,Martin,Martin Marc,Male,M,2021-02-07,Wollongong
11040,Jesse,Murphy,Murphy Jesse,Male,M,2023-04-03,Tacoma
11041,Amanda,Carter,Carter Amanda,Female,F,2023-01-14,Glendale
11042,Megan,Sanchez,Sanchez Megan,Female,F,2023-01-21,Los Angeles
11043,Nathan,Simmons,Simmons Nathan,Male,M,2023-05-08,Glendale
11044,Adam,Flores,Flores Adam,Male,M,2021-02-28,Hervey Bay
11045,Leonard,Nara,Nara Leonard,Male,M,2023-04-10,Matraville
11046,Christine,Yuan,Yuan Christine,Female,F,2021-02-06,Lavender Bay
11047,Jaclyn,Lu,Lu Jaclyn,Female,F,2021-02-03,Geelong
11048,Jeremy,Powell,Powell Jeremy,Male,M,2021-02-10,Sunbury
11049,Carol,Rai,Rai Carol,Female,F,2023-03-09,Chula Vista
